,lower Modal_Price,upper Modal_Price
2017-06-01,927.2619820489201,3531.6962719755065
2017-07-01,413.5146426226977,3900.5101066970456
2017-08-01,222.20773351907633,4277.308116741755
2017-09-01,56.18768999892109,4514.779360692976
2017-10-01,-71.88438668040362,4687.286992961448
2017-11-01,-191.03821215194603,4798.722693209476
2017-12-01,-275.21596754332404,4895.128387889117
2018-01-01,-947.4494475849635,4366.606551979229
2018-02-01,-1056.1613213065207,4373.909950983541
2018-03-01,-1126.5332917350424,4398.708048196751
2018-04-01,-1114.556513607904,4491.674222427759
2018-05-01,-1158.669611754421,4534.150236167965
2018-06-01,-658.3296094452012,5102.232964636678
2018-07-01,-749.7630977874664,5069.40683622677
2018-08-01,-695.0931461111791,5174.656609543121
2018-09-01,-686.0083858025778,5227.338944056202
2018-10-01,-685.5494358412943,5265.362891242601
2018-11-01,-704.951560666404,5278.345825162423
2018-12-01,-713.5862576612062,5297.687088733541
2019-01-01,-1242.1140071272525,4793.451105041777
2019-02-01,-1296.345476033076,4760.584655072827
2019-03-01,-1325.5873637321295,4750.739032919894
2019-04-01,-1290.257678239124,4805.783545275598
2019-05-01,-1309.4684245786873,4823.670695624639
2019-06-01,-807.3574560282032,5409.697535828757
2019-07-01,-906.899589545565,5382.1520043812725
2019-08-01,-855.9931901798436,5494.7919903451675
2019-09-01,-850.878630630511,5552.842866159561
2019-10-01,-853.9117711208437,5595.229101460347
2019-11-01,-876.7060795481684,5611.455228041645
2019-12-01,-888.0378199586607,5633.733948638783
2020-01-01,-1430.7045972977455,5120.180222874008
2020-02-01,-1488.019875975413,5088.41756761997
2020-03-01,-1519.5904602285996,5080.011253626593
2020-04-01,-1485.133922857363,5137.979897573921
2020-05-01,-1508.0317217149195,5159.522807035782
2020-06-01,-1007.3787569355245,5744.262722798416
2020-07-01,-1106.8061721343493,5717.0068610485505
2020-08-01,-1056.2464888785394,5829.494425419709
2020-09-01,-1051.332114295375,5887.556660860437
2020-10-01,-1054.5351717913386,5929.996832107538
2020-11-01,-1077.4331842931333,5946.352303787111
2020-12-01,-1088.9012676025313,5968.737871511468
2021-01-01,-1630.057918731039,5456.956112065189
2021-02-01,-1687.3862145745625,5425.486210674122
2021-03-01,-1719.1020150475117,5417.351971225456
2021-04-01,-1685.1687491894875,5475.559389556486
2021-05-01,-1709.793824272675,5498.835801467642
2021-06-01,-1211.9731484355484,6086.793248733931
2021-07-01,-1313.9228550351145,6062.004503451834
